region,comuna,date,WeeklyCases,week,CumCases,Pop
Aysen,Aysen,Week 9: 04/19 to 04/25,0,9,0,25002
Aysen,Aysen,Week 2: 03/01 to 03/07,0,2,0,25002
Aysen,Aysen,Week 13: 05/17 to 05/23,0,13,0,25002
Aysen,Aysen,Week 0: 02/16 to 02/22,0,0,0,25002
Aysen,Aysen,Week 1: 02/23 to 02/29,0,1,0,25002
Aysen,Aysen,Week 14: 05/24 to 05/30,0,14,0,25002
Aysen,Aysen,Week 5: 03/22 to 03/28,0,5,0,25002
Aysen,Aysen,Week 7: 04/05 to 04/11,0,7,0,25002
Aysen,Aysen,Week 6: 03/29 to 04/04,0,6,0,25002
Aysen,Aysen,Week 15: 05/31 to 06/06,0,15,0,25002
Aysen,Aysen,Week 16: 06/07 to 06/13,0,16,0,25002
Aysen,Aysen,Week 12: 05/10 to 05/16,0,12,0,25002
Aysen,Aysen,Week 10: 04/26 to 05/02,0,10,0,25002
Aysen,Aysen,Week 3: 03/08 to 03/14,0,3,0,25002
Metropolitana,Buin,Week 7: 04/05 to 04/11,0,7,0,109641
Metropolitana,Buin,Week 4: 03/15 to 03/21,0,4,0,109641
Metropolitana,Buin,Week 5: 03/22 to 03/28,0,5,0,109641
Metropolitana,Buin,Week 8: 04/12 to 04/18,0,8,0,109641
Metropolitana,Buin,Week 3: 03/08 to 03/14,0,3,0,109641
Metropolitana,Buin,Week 1: 02/23 to 02/29,0,1,0,109641
Metropolitana,Buin,Week 0: 02/16 to 02/22,0,0,0,109641
Metropolitana,Buin,Week 13: 05/17 to 05/23,0,13,0,109641
Metropolitana,Buin,Week 9: 04/19 to 04/25,0,9,0,109641
Metropolitana,Buin,Week 10: 04/26 to 05/02,0,10,0,109641
Metropolitana,Buin,Week 12: 05/10 to 05/16,0,12,0,109641
Metropolitana,Buin,Week 16: 06/07 to 06/13,0,16,0,109641
Metropolitana,Buin,Week 6: 03/29 to 04/04,0,6,0,109641
Metropolitana,Buin,Week 15: 05/31 to 06/06,0,15,0,109641
Metropolitana,Buin,Week 14: 05/24 to 05/30,0,14,0,109641
Metropolitana,Buin,Week 11: 05/03 to 05/09,0,11,0,109641
Metropolitana,Buin,Week 2: 03/01 to 03/07,0,2,0,109641
Nuble,Bulnes,Week 8: 04/12 to 04/18,0,8,0,22607
Nuble,Bulnes,Week 16: 06/07 to 06/13,0,16,0,22607
Nuble,Bulnes,Week 7: 04/05 to 04/11,0,7,0,22607
Nuble,Bulnes,Week 1: 02/23 to 02/29,0,1,0,22607
Nuble,Bulnes,Week 6: 03/29 to 04/04,0,6,0,22607
Nuble,Bulnes,Week 5: 03/22 to 03/28,0,5,0,22607
Nuble,Bulnes,Week 14: 05/24 to 05/30,0,14,0,22607
Nuble,Bulnes,Week 2: 03/01 to 03/07,0,2,0,22607
Nuble,Bulnes,Week 12: 05/10 to 05/16,0,12,0,22607
Nuble,Bulnes,Week 3: 03/08 to 03/14,0,3,0,22607
Nuble,Bulnes,Week 10: 04/26 to 05/02,0,10,0,22607
Nuble,Bulnes,Week 11: 05/03 to 05/09,0,11,0,22607
Nuble,Bulnes,Week 13: 05/17 to 05/23,0,13,0,22607
Nuble,Bulnes,Week 15: 05/31 to 06/06,0,15,0,22607
Nuble,Bulnes,Week 0: 02/16 to 02/22,0,0,0,22607
Nuble,Bulnes,Week 9: 04/19 to 04/25,0,9,0,22607
Nuble,Bulnes,Week 4: 03/15 to 03/21,0,4,0,22607
Valparaiso,Cabildo,Week 3: 03/08 to 03/14,0,3,0,20663
Valparaiso,Cabildo,Week 14: 05/24 to 05/30,0,14,0,20663
Valparaiso,Cabildo,Week 13: 05/17 to 05/23,0,13,0,20663
Valparaiso,Cabildo,Week 11: 05/03 to 05/09,0,11,0,20663
Valparaiso,Cabildo,Week 9: 04/19 to 04/25,0,9,0,20663
Valparaiso,Cabildo,Week 4: 03/15 to 03/21,0,4,0,20663
Valparaiso,Cabildo,Week 8: 04/12 to 04/18,0,8,0,20663
Valparaiso,Cabildo,Week 16: 06/07 to 06/13,0,16,0,20663
Valparaiso,Cabildo,Week 1: 02/23 to 02/29,0,1,0,20663
Valparaiso,Cabildo,Week 7: 04/05 to 04/11,0,7,0,20663
Valparaiso,Cabildo,Week 2: 03/01 to 03/07,0,2,0,20663
Valparaiso,Cabildo,Week 12: 05/10 to 05/16,0,12,0,20663
Valparaiso,Cabildo,Week 15: 05/31 to 06/06,0,15,0,20663
Valparaiso,Cabildo,Week 5: 03/22 to 03/28,0,5,0,20663
Valparaiso,Cabildo,Week 6: 03/29 to 04/04,0,6,0,20663
Valparaiso,Cabildo,Week 0: 02/16 to 02/22,0,0,0,20663
Valparaiso,Cabildo,Week 10: 04/26 to 05/02,0,10,0,20663
Magallanes,Cabo de Hornos,Week 0: 02/16 to 02/22,0,0,0,1983
Magallanes,Cabo de Hornos,Week 3: 03/08 to 03/14,0,3,0,1983
Magallanes,Cabo de Hornos,Week 8: 04/12 to 04/18,0,8,0,1983
Magallanes,Cabo de Hornos,Week 2: 03/01 to 03/07,0,2,0,1983
Magallanes,Cabo de Hornos,Week 10: 04/26 to 05/02,0,10,0,1983
Magallanes,Cabo de Hornos,Week 16: 06/07 to 06/13,0,16,0,1983
Magallanes,Cabo de Hornos,Week 5: 03/22 to 03/28,0,5,0,1983
Magallanes,Cabo de Hornos,Week 13: 05/17 to 05/23,0,13,0,1983
Magallanes,Cabo de Hornos,Week 7: 04/05 to 04/11,0,7,0,1983
Magallanes,Cabo de Hornos,Week 12: 05/10 to 05/16,0,12,0,1983
Magallanes,Cabo de Hornos,Week 4: 03/15 to 03/21,0,4,0,1983
Magallanes,Cabo de Hornos,Week 15: 05/31 to 06/06,0,15,0,1983
Magallanes,Cabo de Hornos,Week 14: 05/24 to 05/30,0,14,0,1983
Magallanes,Cabo de Hornos,Week 11: 05/03 to 05/09,0,11,0,1983
Magallanes,Cabo de Hornos,Week 1: 02/23 to 02/29,0,1,0,1983
Magallanes,Cabo de Hornos,Week 6: 03/29 to 04/04,0,6,0,1983
Magallanes,Cabo de Hornos,Week 9: 04/19 to 04/25,0,9,0,1983
Biobio,Cabrero,Week 4: 03/15 to 03/21,0,4,0,30725
Biobio,Cabrero,Week 1: 02/23 to 02/29,0,1,0,30725
